Critic_Score,Platform,Genre,Publisher,Name,Global_Sales
85.0,PS3,Action,Ubisoft,Assassin's Creed III,6.45
87.0,Wii,Platform,Nintendo,Donkey Kong Country Returns,6.44
97.0,XB,Shooter,Microsoft Game Studios,Halo: Combat Evolved,6.43
92.0,PS3,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,6.41
76.0,GBA,Role-Playing,Nintendo,Pokémon Emerald Version,6.41
85.0,PS2,Role-Playing,Sony Computer Entertainment,Kingdom Hearts,6.4
83.0,X360,Shooter,Microsoft Game Studios,Halo 3: ODST,6.34
95.0,X360,Action,Take-Two Interactive,Red Dead Redemption,6.32
92.0,GC,Platform,Nintendo,Super Mario Sunshine,6.31
93.0,PC,Role-Playing,Activision,World of Warcraft,6.29
87.0,PS,Action,Other,Driver,6.27
91.0,X360,Shooter,Microsoft Game Studios,Gears of War 3,6.21
73.0,X360,Sports,Microsoft Game Studios,Kinect Sports,6.19
94.0,X360,Shooter,Microsoft Game Studios,Gears of War,6.09
82.0,PS4,Sports,Electronic Arts,FIFA 15,6.08
96.0,PS2,Action,Konami Digital Entertainment,Metal Gear Solid 2: Sons of Liberty,6.05
94.0,PS,Action,Konami Digital Entertainment,Metal Gear Solid,6.03
94.0,PS3,Action,Konami Digital Entertainment,Metal Gear Solid 4: Guns of the Patriots,5.99
92.0,PS2,Role-Playing,Square Enix,Final Fantasy XII,5.95
95.0,PS3,Action,Other,The Last of Us,5.87
95.0,PS3,Platform,Sony Computer Entertainment,LittleBigPlanet,5.82
89.0,PS,Action,Other,Resident Evil 2,5.82
87.0,DS,Role-Playing,Nintendo,Dragon Quest IX: Sentinels of the Starry Skies,5.78
89.0,PS,Fighting,Sony Computer Entertainment,Tekken 2,5.74
76.0,PS4,Shooter,Activision,Destiny,5.64
80.0,Wii,Action,LucasArts,LEGO Star Wars: The Complete Saga,5.64
67.0,DS,Simulation,505 Games,Cooking Mama,5.63
91.0,PS3,Action,Ubisoft,Assassin's Creed II,5.55
81.0,X360,Adventure,Ubisoft,Assassin's Creed,5.54
92.0,X360,Racing,Microsoft Game Studios,Forza Motorsport 3,5.49
84.0,GBA,Platform,Nintendo,Super Mario Advance,5.49
81.0,PSP,Role-Playing,Capcom,Monster Hunter Freedom Unite,5.48
96.0,PS3,Action,Warner Bros. Interactive Entertainment,Batman: Arkham City,5.48
97.0,XOne,Action,Take-Two Interactive,Grand Theft Auto V,5.48
93.0,GBA,Racing,Nintendo,Mario Kart: Super Circuit,5.47
66.0,PS2,Platform,Universal Interactive,Crash Bandicoot: The Wrath of Cortex,5.42
85.0,PS3,Shooter,Activision,Call of Duty: World at War,5.39
93.0,PS4,Shooter,Sony Computer Entertainment,Uncharted 4: A Thief's End,5.38
83.0,PS3,Role-Playing,Square Enix,Final Fantasy XIII,5.33
94.0,PS,Role-Playing,Other,Final Fantasy IX,5.3
84.0,X360,Action,Ubisoft,Assassin's Creed III,5.29
85.0,PS2,Role-Playing,Electronic Arts,Final Fantasy X-2,5.29
81.0,XOne,Shooter,Activision,Call of Duty: Advanced Warfare,5.27
90.0,X360,Action,Ubisoft,Assassin's Creed II,5.26
85.0,PS,Action,Eidos Interactive,Tomb Raider II,5.24
94.0,PS2,Sports,Electronic Arts,Madden NFL 2004,5.23
84.0,WiiU,Platform,Nintendo,New Super Mario Bros. U,5.22
89.0,PS2,Role-Playing,Square Enix,Dragon Quest VIII: Journey of the Cursed King,5.21
85.0,DS,Puzzle,Nintendo,Professor Layton and the Curious Village,5.19
90.0,X360,Action,Electronic Arts,FIFA Soccer 13,5.16
88.0,PC,Role-Playing,Activision,Diablo III,5.14
68.0,PS2,Shooter,Electronic Arts,Medal of Honor: Rising Sun,5.13
92.0,PS2,Misc,Other,Guitar Hero II,5.12
80.0,X360,Role-Playing,Microsoft Game Studios,Fable III,5.1
84.0,PS3,Action,Capcom,Resident Evil 5,5.09
90.0,DS,Action,Nintendo,The Legend of Zelda: Phantom Hourglass,5.08
89.0,PS3,Sports,Electronic Arts,FIFA Soccer 11,5.07
91.0,PS,Action,Other,Resident Evil,5.05
86.0,PSP,Action,Take-Two Interactive,Grand Theft Auto: Vice City Stories,5.03
92.0,PS,Sports,Activision,Tony Hawk's Pro Skater,5.02
82.0,PS2,Misc,Activision,Guitar Hero III: Legends of Rock,4.98
68.0,Wii,Shooter,Nintendo,Link's Crossbow Training,4.98
93.0,X360,Role-Playing,Bethesda Softworks,Fallout 3,4.93
88.0,PS3,Action,Sony Computer Entertainment,Uncharted: Drake's Fortune,4.92
88.0,PS2,Sports,Electronic Arts,Madden NFL 06,4.91
93.0,PC,Strategy,Activision,StarCraft II: Wings of Liberty,4.84
81.0,PS3,Adventure,Ubisoft,Assassin's Creed,4.82
92.0,PS3,Action,Sony Computer Entertainment,God of War III,4.8
88.0,PS,Racing,Sony Computer Entertainment,Crash Team Racing,4.79
80.0,DS,Action,LucasArts,LEGO Star Wars: The Complete Saga,4.76
62.0,PS,Action,Atari,Driver 2,4.73
94.0,X360,Action,Warner Bros. Interactive Entertainment,Batman: Arkham City,4.73
98.0,PS,Sports,Activision,Tony Hawk's Pro Skater 2,4.68
82.0,PS2,Action,Electronic Arts,The Lord of the Rings: The Two Towers,4.67
91.0,PS,Action,Eidos Interactive,Tomb Raider,4.63
73.0,Wii,Simulation,Nintendo,Animal Crossing: City Folk,4.62
86.0,PS4,Action,Sony Computer Entertainment,Uncharted: The Nathan Drake Collection,4.62
96.0,GC,Action,Nintendo,The Legend of Zelda: The Wind Waker,4.6
86.0,Wii,Misc,Activision,Guitar Hero III: Legends of Rock,4.6
86.0,3DS,Action,Nintendo,Luigi's Mansion: Dark Moon,4.59
91.0,X360,Racing,Microsoft Game Studios,Forza Motorsport 4,4.57
91.0,PS2,Sports,Electronic Arts,Madden NFL 2005,4.53
85.0,X360,Misc,Activision,Guitar Hero III: Legends of Rock,4.53
84.0,PS2,Sports,Electronic Arts,Madden NFL 07,4.49
84.0,XOne,Shooter,Microsoft Game Studios,Halo 5: Guardians,4.48
76.0,PS2,Action,Activision,Spider-Man: The Movie,4.48
77.0,PS4,Shooter,Activision,Call of Duty: Infinite Warfare,4.46
94.0,PS2,Action,Sony Computer Entertainment,God of War,4.45
81.0,WiiU,Shooter,Nintendo,Splatoon,4.43
77.0,WiiU,Misc,Nintendo,Nintendo Land,4.42
97.0,PS2,Sports,Activision,Tony Hawk's Pro Skater 3,4.41
86.0,PS2,Sports,Konami Digital Entertainment,Winning Eleven: Pro Evolution Soccer 2007,4.39
94.0,X360,Role-Playing,Take-Two Interactive,The Elder Scrolls IV: Oblivion,4.38
82.0,PS2,Racing,Electronic Arts,Need for Speed: Most Wanted,4.37
56.0,Wii,Misc,Ubisoft,Michael Jackson: The Experience,4.36
86.0,PS3,Shooter,Sony Computer Entertainment,Resistance: Fall of Man,4.34
87.0,PS2,Role-Playing,Square Enix,Kingdom Hearts II,4.33
93.0,WiiU,Platform,Nintendo,Super Mario 3D World,4.32
89.0,X360,Role-Playing,Microsoft Game Studios,Fable II,4.27
79.0,GBA,Misc,Namco Bandai Games,Namco Museum,4.24
91.0,PS3,Action,Eidos Interactive,Batman: Arkham Asylum,4.23
91.0,PS2,Action,Konami Digital Entertainment,Metal Gear Solid 3: Snake Eater,4.23
80.0,PS3,Action,Ubisoft,Assassin's Creed: Revelations,4.22
88.0,XOne,Role-Playing,Bethesda Softworks,Fallout 4,4.22
84.0,X360,Sports,Electronic Arts,FIFA 14,4.22
85.0,PSP,Platform,Sony Computer Entertainment,Daxter,4.21
80.0,PS2,Sports,Electronic Arts,FIFA Soccer 06,4.21
80.0,PS2,Misc,Sony Computer Entertainment,EyeToy Play,4.2
80.0,PS3,Racing,Sony Computer Entertainment,Gran Turismo 5 Prologue,4.19
80.0,X360,Action,Ubisoft,Assassin's Creed: Revelations,4.19
94.0,PS3,Fighting,Capcom,Street Fighter IV,4.16
95.0,PS2,Sports,Electronic Arts,Madden NFL 2003,4.14
96.0,PC,Shooter,Vivendi Games,Half-Life,4.12
91.0,PC,Role-Playing,Activision,World of Warcraft: The Burning Crusade,4.09
88.0,PS4,Shooter,Electronic Arts,Battlefield 1,4.08
93.0,PS2,Action,Sony Computer Entertainment,God of War II,4.07
84.0,X360,Role-Playing,Bethesda Softworks,Fallout: New Vegas,4.05
90.0,X360,Racing,Microsoft Game Studios,Forza Motorsport 2,4.05
56.0,Wii,Misc,Take-Two Interactive,Carnival Games,4.05
80.0,PS4,Action,Ubisoft,Watch Dogs,4.05
85.0,PS2,Fighting,Namco Bandai Games,Tekken Tag Tournament,4.05
85.0,PS4,Shooter,Ubisoft,Far Cry 4,4.04
61.0,PS2,Misc,Namco Bandai Games,Namco Museum: 50th Anniversary,3.98
89.0,X360,Shooter,Electronic Arts,Left 4 Dead 2,3.97
92.0,PS4,Role-Playing,Namco Bandai Games,The Witcher 3: Wild Hunt,3.97
70.0,PS4,Action,Ubisoft,Assassin's Creed: Unity,3.96
87.0,PS4,Action,Warner Bros. Interactive Entertainment,Batman: Arkham Knight,3.95
93.0,Wii,Action,Nintendo,The Legend of Zelda: Skyward Sword,3.95
90.0,PS3,Role-Playing,Bethesda Softworks,Fallout 3,3.94
84.0,DS,Puzzle,Nintendo,Professor Layton and the Diabolical Box,3.94
81.0,Wii,Sports,Electronic Arts,EA Sports Active,3.9
90.0,PS2,Sports,Activision,Tony Hawk's Underground,3.9
86.0,3DS,Role-Playing,Nintendo,Monster Hunter 4 Ultimate,3.89
94.0,PC,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,3.88
87.0,PS4,Sports,Take-Two Interactive,NBA 2K16,3.88
88.0,PS2,Fighting,Namco Bandai Games,Tekken 5,3.87
84.0,PS3,Racing,Sony Computer Entertainment,MotorStorm,3.87
91.0,PS2,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 8 International,3.85
76.0,PS3,Sports,Sony Computer Entertainment,Sports Champions,3.84
78.0,PS4,Shooter,Activision,Call of Duty: Ghosts,3.83
59.0,DS,Misc,Nintendo,Flash Focus: Vision Training in Minutes a Day,3.83
80.0,PS4,Shooter,Ubisoft,Tom Clancy's The Division,3.8
68.0,Wii,Misc,Nintendo,Big Brain Academy: Wii Degree,3.79
77.0,X360,Action,Activision,LEGO Indiana Jones: The Original Adventures,3.76
79.0,PC,Simulation,Electronic Arts,The Sims: Unleashed,3.76
64.0,PS,Action,Electronic Arts,Harry Potter and the Sorcerer's Stone,3.73
85.0,Wii,Platform,Nintendo,Super Paper Mario,3.71
91.0,PS,Platform,Sony Computer Entertainment,Spyro: Year of the Dragon,3.71
88.0,PS3,Action,Ubisoft,Assassin's Creed IV: Black Flag,3.71
81.0,PS2,Sports,Electronic Arts,FIFA Soccer 2005,3.7
94.0,PS2,Sports,Activision,Tony Hawk's Pro Skater 4,3.67
67.0,DS,Simulation,Electronic Arts,MySims,3.66
74.0,PSP,Racing,Take-Two Interactive,Midnight Club 3: DUB Edition,3.65
82.0,PS2,Shooter,Sony Computer Entertainment,SOCOM: U.S. Navy SEALs,3.65
90.0,PS2,Platform,Sony Computer Entertainment,Jak and Daxter: The Precursor Legacy,3.64
82.0,PS2,Sports,Konami Digital Entertainment,Pro Evolution Soccer 2008,3.63
96.0,PS2,Action,Capcom,Resident Evil 4,3.62
86.0,Wii,Misc,Activision,Guitar Hero: World Tour,3.62
91.0,PS3,Sports,Electronic Arts,FIFA Soccer 10,3.62
82.0,PS2,Shooter,LucasArts,Star Wars: Battlefront,3.61
64.0,PS2,Racing,Electronic Arts,The Simpsons: Road Rage,3.61
78.0,GC,Action,Nintendo,Luigi's Mansion,3.6
85.0,PS4,Shooter,Electronic Arts,Battlefield 4,3.59
84.0,PS2,Shooter,LucasArts,Star Wars: Battlefront II,3.59
70.0,DS,Simulation,505 Games,Cooking Mama 2: Dinner With Friends,3.58
78.0,PS2,Action,Take-Two Interactive,Grand Theft Auto: Liberty City Stories,3.54
72.0,PS2,Action,Sony Computer Entertainment,The Getaway,3.54
72.0,PS2,Shooter,Electronic Arts,James Bond 007: Agent Under Fire,3.53
88.0,X360,Sports,Electronic Arts,FIFA Soccer 11,3.52
89.0,X360,Shooter,Electronic Arts,Left 4 Dead,3.51
72.0,XOne,Action,Ubisoft,Assassin's Creed: Unity,3.5
83.0,X360,Action,Capcom,Resident Evil 5,3.5
89.0,X360,Action,Ubisoft,Assassin's Creed: Brotherhood,3.49
84.0,PS2,Sports,Electronic Arts,FIFA Soccer 2004,3.49
80.0,PS3,Shooter,Electronic Arts,Battlefield 4,3.49
92.0,X360,Action,Eidos Interactive,Batman: Arkham Asylum,3.48
79.0,X360,Shooter,Electronic Arts,Battlefield 4,3.48
88.0,X360,Shooter,Electronic Arts,Battlefield: Bad Company 2,3.47
71.0,DS,Misc,Activision,Guitar Hero: On Tour,3.46
83.0,DS,Misc,Nintendo,Clubhouse Games,3.45
84.0,X360,Shooter,Take-Two Interactive,Borderlands,3.44
79.0,PS2,Fighting,Namco Bandai Games,Tekken 4,3.44
70.0,PS,Action,Take-Two Interactive,Grand Theft Auto 2,3.42
93.0,PS4,Action,Konami Digital Entertainment,Metal Gear Solid V: The Phantom Pain,3.41
80.0,PS2,Action,Activision,Spider-Man 2,3.41
88.0,PS2,Sports,Electronic Arts,FIFA Soccer 2003,3.4
91.0,PS3,Platform,Sony Computer Entertainment,LittleBigPlanet 2,3.39
68.0,PS,Misc,Sony Computer Entertainment,Crash Bash,3.39
76.0,PS4,Action,Ubisoft,Assassin's Creed Syndicate,3.39
76.0,X360,Action,Warner Bros. Interactive Entertainment,LEGO Batman: The Videogame,3.38
75.0,XOne,Shooter,Activision,Destiny,3.37
90.0,PS3,Shooter,Ubisoft,Far Cry 3,3.35
77.0,PS2,Shooter,Electronic Arts,James Bond 007: Nightfire,3.33
60.0,PS2,Action,LucasArts,Star Wars Episode III: Revenge of the Sith,3.32
87.0,DS,Action,Nintendo,The Legend of Zelda: Spirit Tracks,3.31
80.0,PS2,Shooter,Take-Two Interactive,Max Payne,3.31
86.0,X360,Action,Ubisoft,Assassin's Creed IV: Black Flag,3.3
85.0,PS2,Action,Electronic Arts,The Lord of the Rings: The Return of the King,3.28
82.0,XOne,Shooter,Microsoft Game Studios,Gears of War: Ultimate Edition,3.28
77.0,PS2,Action,Activision,True Crime: Streets of LA,3.27
86.0,DS,Puzzle,Nintendo,Professor Layton and the Unwound Future,3.26
84.0,XOne,Sports,Electronic Arts,FIFA 16,3.25
63.0,Wii,Misc,Nintendo,Wii Music,3.25
83.0,PS4,Sports,Electronic Arts,Madden NFL 16,3.24
81.0,PS3,Racing,Sony Computer Entertainment,Gran Turismo 6,3.23
85.0,XOne,Shooter,Microsoft Game Studios,Halo: The Master Chief Collection,3.23
88.0,WiiU,Platform,Nintendo,Super Mario Maker,3.21
91.0,PSP,Action,Sony Computer Entertainment,God of War: Chains of Olympus,3.18
62.0,PS2,Action,Atari,Enter the Matrix,3.18
83.0,PSP,Role-Playing,Square Enix,Crisis Core: Final Fantasy VII,3.18
82.0,X360,Misc,Other,Dance Central,3.17
89.0,PS3,Adventure,Take-Two Interactive,L.A. Noire,3.17
89.0,PS2,Simulation,Other,Ace Combat 04: Shattered Skies,3.17
87.0,GC,Simulation,Nintendo,Animal Crossing,3.15
83.0,PS2,Sports,Electronic Arts,FIFA Soccer 08,3.14
87.0,PS,Action,Activision,Spider-Man,3.13
73.0,Wii,Misc,Nintendo,Mario Party 9,3.13
88.0,PS,Racing,Electronic Arts,Need for Speed III: Hot Pursuit,3.12
82.0,DS,Platform,Sega,Sonic Rush,3.12
83.0,DS,Misc,Nintendo,Rhythm Heaven,3.11
82.0,PS3,Role-Playing,Bethesda Softworks,Fallout: New Vegas,3.11
81.0,DS,Misc,Nintendo,Personal Trainer: Cooking,3.11
93.0,PS3,Role-Playing,Ubisoft,The Elder Scrolls IV: Oblivion,3.1
91.0,3DS,Action,Nintendo,The Legend of Zelda: A Link Between Worlds,3.1
74.0,PS3,Shooter,Capcom,Resident Evil 6,3.1
96.0,X360,Role-Playing,Electronic Arts,Mass Effect 2,3.1
67.0,PS2,Fighting,Atari,Dragon Ball Z: Budokai,3.09
94.0,PS2,Sports,Electronic Arts,Madden NFL 2002,3.08
75.0,PC,Simulation,Electronic Arts,The Sims: Vacation,3.07
74.0,Wii,Action,Warner Bros. Interactive Entertainment,LEGO Batman: The Videogame,3.06
66.0,3DS,Simulation,Nintendo,Animal Crossing: Happy Home Designer,3.05
70.0,PC,Simulation,Electronic Arts,The Sims 4,3.05
89.0,X360,Shooter,Take-Two Interactive,Borderlands 2,3.05
72.0,DS,Action,Warner Bros. Interactive Entertainment,LEGO Batman: The Videogame,3.05
75.0,X360,Action,Activision,Kung Fu Panda,3.04
93.0,X360,Role-Playing,Electronic Arts,Mass Effect 3,3.04
87.0,PS3,Adventure,Sony Computer Entertainment,Heavy Rain,3.03
81.0,X360,Action,THQ,Saints Row 2,3.03
93.0,XB,Action,Ubisoft,Tom Clancy's Splinter Cell,3.02
87.0,PS4,Sports,Electronic Arts,FIFA 14,3.01
91.0,PS3,Shooter,Sony Computer Entertainment,Killzone 2,3.01
91.0,X360,Shooter,Ubisoft,Far Cry 3,3.0
73.0,Wii,Platform,Disney Interactive Studios,Epic Mickey,3.0
88.0,X360,Sports,Take-Two Interactive,NBA 2K13,3.0
73.0,PS2,Fighting,Atari,Dragon Ball Z: Budokai Tenkaichi 3,3.0
82.0,PC,Misc,Electronic Arts,The Sims: Livin Large,2.99
93.0,PS2,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 6 International,2.99
94.0,PS2,Action,Capcom,Devil May Cry,2.99
85.0,PC,Role-Playing,Electronic Arts,Star Wars: The Old Republic,2.96
84.0,PS4,Action,Warner Bros. Interactive Entertainment,Middle-Earth: Shadow of Mordor,2.96
64.0,PS2,Platform,Sega,Sonic Heroes,2.96
85.0,PS2,Action,Eidos Interactive,Hitman 2: Silent Assassin,2.96
86.0,XOne,Shooter,Electronic Arts,Titanfall,2.95
88.0,PS3,Shooter,Electronic Arts,Battlefield: Bad Company 2,2.95
87.0,PS2,Shooter,Sony Computer Entertainment,SOCOM II: U.S. Navy SEALs,2.94
79.0,GBA,Puzzle,Atari,Pac-Man Collection,2.94
93.0,X360,Fighting,Capcom,Street Fighter IV,2.94
85.0,PS3,Action,Sony Computer Entertainment,inFAMOUS,2.93
76.0,DS,Platform,Nintendo,Kirby Super Star Ultra,2.92
78.0,XOne,Shooter,Activision,Call of Duty: Ghosts,2.92
91.0,X360,Role-Playing,Microsoft Game Studios,Mass Effect,2.91
73.0,PS2,Misc,Sega,Sonic Mega Collection Plus,2.9
93.0,PS2,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 7 International,2.9
67.0,X360,Sports,Sega,Sega Superstars Tennis,2.89
85.0,PS2,Sports,Sony Computer Entertainment,Hot Shots Golf 3,2.89
61.0,Wii,Simulation,505 Games,Cooking Mama: Cook Off,2.89
76.0,PS2,Shooter,Activision,Call of Duty: Finest Hour,2.89
83.0,Wii,Puzzle,Nintendo,WarioWare: Smooth Moves,2.89
81.0,X360,Sports,Electronic Arts,Madden NFL 13,2.86
87.0,XB,Role-Playing,Ubisoft,The Elder Scrolls III: Morrowind,2.86
83.0,PS4,Action,Ubisoft,Assassin's Creed IV: Black Flag,2.85
84.0,PS3,Fighting,Warner Bros. Interactive Entertainment,Mortal Kombat,2.84
85.0,X360,Sports,Electronic Arts,Madden NFL 10,2.83
96.0,X360,Shooter,Take-Two Interactive,BioShock,2.83
97.0,GC,Shooter,Nintendo,Metroid Prime,2.82
90.0,PS3,Action,Ubisoft,Assassin's Creed: Brotherhood,2.82
75.0,PS3,Shooter,Electronic Arts,Medal of Honor,2.81
80.0,PS4,Action,Sony Computer Entertainment,inFAMOUS: Second Son,2.79
89.0,PS2,Sports,Electronic Arts,NBA Street,2.79
87.0,PS2,Platform,Sony Computer Entertainment,Jak II,2.78
89.0,PS3,Racing,Electronic Arts,Need for Speed: Hot Pursuit,2.78
81.0,Wii,Action,Activision,Skylanders: Spyro's Adventure,2.78
89.0,PC,Shooter,Electronic Arts,Battlefield 3,2.78
83.0,PS4,Fighting,Warner Bros. Interactive Entertainment,Mortal Kombat X,2.78
83.0,PS2,Simulation,Electronic Arts,The Sims,2.77
84.0,PS3,Shooter,Sony Computer Entertainment,Killzone 3,2.77
73.0,X360,Action,LucasArts,Star Wars: The Force Unleashed,2.77
81.0,DS,Platform,Nintendo,Yoshi's Island DS,2.76
84.0,X360,Action,THQ,Saints Row: The Third,2.76
79.0,PS3,Fighting,Namco Bandai Games,Tekken 6,2.75
69.0,Wii,Platform,Sega,Sonic and the Secret Rings,2.73
95.0,GBA,Action,Nintendo,The Legend of Zelda: A Link to the Past,2.7
86.0,PS2,Action,Other,Onimusha: Warlords,2.7
89.0,X360,Adventure,Take-Two Interactive,L.A. Noire,2.7
82.0,X360,Shooter,Activision,Call of Duty 3,2.7
78.0,X360,Sports,Electronic Arts,Madden NFL 12,2.69
84.0,PS2,Action,LucasArts,LEGO Star Wars II: The Original Trilogy,2.69
73.0,PS4,Shooter,Sony Computer Entertainment,Killzone: Shadow Fall,2.69
84.0,X360,Sports,Electronic Arts,Madden NFL 11,2.69
93.0,PS2,Racing,Electronic Arts,Burnout 3: Takedown,2.68
79.0,DS,Puzzle,Nintendo,Mario vs. Donkey Kong: Mini-Land Mayhem!,2.67
83.0,DS,Puzzle,Nintendo,Professor Layton and the Last Specter,2.67
77.0,PS2,Shooter,Activision,Call Of Duty 2: Big Red One,2.67
92.0,PS,Shooter,Electronic Arts,Medal of Honor,2.67
85.0,XB,Role-Playing,Microsoft Game Studios,Fable,2.66
85.0,X360,Misc,Activision,Guitar Hero: World Tour,2.66
